id,name,url,level,total_sub_category,parent_id,create_at,total_pages,total_products,cate_id
1,Điện Thoại - Máy Tính Bảng,https://tiki.vn/dien-thoai-may-tinh-bang/c1789?src=c.1789.hamburger_menu_fly_out_banner,1,5.0,,2020-10-03 03:04:21,,,1789
2,Điện Tử - Điện Lạnh,https://tiki.vn/tivi-thiet-bi-nghe-nhin/c4221?src=c.4221.hamburger_menu_fly_out_banner,1,11.0,,2020-10-03 03:04:21,,,4221
3,Phụ Kiện - Thiết Bị Số,https://tiki.vn/thiet-bi-kts-phu-kien-so/c1815?src=c.1815.hamburger_menu_fly_out_banner,1,6.0,,2020-10-03 03:04:21,,,1815
4,Laptop - Thiết bị IT,https://tiki.vn/laptop-may-vi-tinh/c1846?src=c.1846.hamburger_menu_fly_out_banner,1,6.0,,2020-10-03 03:04:21,,,1846
5,Máy Ảnh - Quay Phim,https://tiki.vn/may-anh/c1801?src=c.1801.hamburger_menu_fly_out_banner,1,10.0,,2020-10-03 03:04:21,,,1801
6,Điện Gia Dụng,https://tiki.vn/dien-gia-dung/c1882?src=c.1882.hamburger_menu_fly_out_banner,1,2.0,,2020-10-03 03:04:21,,,1882
7,Nhà Cửa Đời Sống,https://tiki.vn/nha-cua-doi-song/c1883?src=c.1883.hamburger_menu_fly_out_banner,1,21.0,,2020-10-03 03:04:21,,,1883
8,Hàng Tiêu Dùng - Thực Phẩm,https://tiki.vn/bach-hoa-online/c4384?src=c.4384.hamburger_menu_fly_out_banner,1,13.0,,2020-10-03 03:04:21,,,4384
9,"Đồ chơi, Mẹ & Bé",https://tiki.vn/me-va-be/c2549?src=c.2549.hamburger_menu_fly_out_banner,1,9.0,,2020-10-03 03:04:21,,,2549
10,Làm Đẹp - Sức Khỏe,https://tiki.vn/lam-dep-suc-khoe/c1520?src=c.1520.hamburger_menu_fly_out_banner,1,14.0,,2020-10-03 03:04:21,,,1520
11,Thời trang - Phụ kiện,https://tiki.vn/thoi-trang/c914?src=c.914.hamburger_menu_fly_out_banner,1,4.0,,2020-10-03 03:04:21,,,914
12,Thể Thao - Dã Ngoại,https://tiki.vn/the-thao/c1975?src=c.1975.hamburger_menu_fly_out_banner,1,15.0,,2020-10-03 03:04:21,,,1975
13,"Xe Máy, Ô tô, Xe Đạp",https://tiki.vn/o-to-xe-may-xe-dap/c8594?src=c.8594.hamburger_menu_fly_out_banner,1,6.0,,2020-10-03 03:04:21,,,8594
14,Hàng quốc tế,https://tiki.vn/hang-quoc-te/c17166?src=c.17166.hamburger_menu_fly_out_banner,1,16.0,,2020-10-03 03:04:21,,,17166
15,"Sách, VPP & Quà Tặng",https://tiki.vn/nha-sach-tiki/c8322?src=c.8322.hamburger_menu_fly_out_banner,1,4.0,,2020-10-03 03:04:21,,,8322
16,Voucher - Dịch Vụ - Thẻ Cào,https://tiki.vn/voucher-dich-vu/c11312?src=c.11312.hamburger_menu_fly_out_banner,1,10.0,,2020-10-03 03:04:21,,,11312
17,Máy tính bảng,https://tiki.vn/may-tinh-bang/c1794?src=c.1789.hamburger_menu_fly_out_banner,2,0.0,1.0,2020-10-03 03:04:23,1.0,35.0,1794
18,Máy đọc sách,https://tiki.vn/may-doc-sach/c28856?src=c.1789.hamburger_menu_fly_out_banner,2,0.0,1.0,2020-10-03 03:04:23,1.0,31.0,28856
19,Điện thoại Smartphone,https://tiki.vn/dien-thoai-smartphone/c1795?src=c.1789.hamburger_menu_fly_out_banner,2,0.0,1.0,2020-10-03 03:04:23,4.0,156.0,1795
20,Điện thoại bàn,https://tiki.vn/dien-thoai-ban/c8061?src=c.1789.hamburger_menu_fly_out_banner,2,0.0,1.0,2020-10-03 03:04:23,3.0,99.0,8061
21,Điện thoại phổ thông,https://tiki.vn/dien-thoai-pho-thong/c1796?src=c.1789.hamburger_menu_fly_out_banner,2,0.0,1.0,2020-10-03 03:04:23,3.0,97.0,1796
